anfitrión/a,tiempo_respuesta,es_superhost,ciudad,pais,latitud,longitud,tipo_propiedad,capacidad,puntaje_promedio_comunicación,puntaje_promedio_localización,servicio_tv_cable,servicio_aire_acondicionado
361781992,dentro de una hora,1,Istanbul,Turkey,41.0045,28.96859,pieza en hotel,2,10,10,0,1
6416286,dentro de una hora,1,New York,United States,40.67726,-73.93012,apartamento completo,7,10,10,1,1
180435341,dentro de una hora,0,Bangkok,Thailand,13.7198,100.55867,condominio completo,3,10,10,0,1
301753450,dentro de una hora,0,Sydney,Australia,-33.8292,151.07614,apartamento completo,4,9,10,0,1
148937129,dentro de una hora,1,Rio de Janeiro,Brazil,-22.98756,-43.19141,departamento con servicios completo,4,10,10,0,1
35362725,dentro de algunos días o más,0,Bangkok,Thailand,13.74086,100.54232,condominio completo,4,10,10,1,1
5595776,dentro de una hora,1,Sydney,Australia,-33.9241,151.25546,pieza en hotel,2,10,10,0,0
5322428,dentro de algunas horas,1,Mexico City,Mexico,19.44172,-99.15381,apartamento completo,4,10,10,0,0
3712638,dentro de una hora,1,Rio de Janeiro,Brazil,-22.91459,-43.18977,apartamento completo,2,10,10,1,1
339710976,dentro de una hora,0,Istanbul,Turkey,41.04736,28.98662,pieza privada en departamento,2,10,10,1,1
341593454,dentro de una hora,0,Mexico City,Mexico,19.44105,-99.18527,apartamento completo,2,10,10,1,0
64005421,dentro de una hora,1,Istanbul,Turkey,41.00504,28.97143,apartamento completo,7,10,9,0,1
68581878,dentro de una hora,0,Rio de Janeiro,Brazil,-22.97274,-43.19072,apartamento completo,2,10,10,1,1
30344443,dentro de algunos días o más,0,Paris,France,48.84267,2.27764,apartamento completo,4,9,10,0,1
333963000,dentro de algunos días o más,0,Cape Town,South Africa,-34.08922,18.46522,estudio completo,2,10,10,0,0
800223,dentro de una hora,0,New York,United States,40.71712,-73.98898,pieza privada en departamento,2,10,10,0,1
33142896,dentro de una hora,1,Rome,Italy,41.88232,12.47619,apartamento completo,4,10,10,0,1
107861927,dentro de una hora,0,Paris,France,48.87022,2.37394,apartamento completo,3,10,10,0,0
99380823,dentro de algunas horas,0,Rio de Janeiro,Brazil,-22.9465,-43.16206,casa completa,6,10,10,0,1
216066129,dentro de una hora,0,Istanbul,Turkey,41.02801,28.97656,apartamento completo,2,10,10,1,1
29516045,dentro de una hora,0,Paris,France,48.85998,2.34888,pieza privada en departamento,2,10,10,0,1
126106513,dentro de una hora,1,Mexico City,Mexico,19.43473,-99.12963,apartamento completo,4,10,9,1,0
260078916,dentro de una hora,0,Sydney,Australia,-33.86231,151.17063,casa completa,10,10,10,0,1
162280872,dentro de algunas horas,0,New York,United States,40.76975,-73.95797,apartamento completo,6,10,10,1,1
161676430,dentro de algunas horas,1,Sydney,Australia,-33.88358,151.0449,pieza privada en departamento,2,10,10,0,1
3662048,dentro de una hora,1,New York,United States,40.67943,-73.99527,apartamento completo,2,10,10,0,1
287848650,dentro de una hora,1,New York,United States,40.75751,-73.93149,apartamento completo,7,10,10,0,1
167891665,dentro de un día,0,Cape Town,South Africa,-33.91844,18.41881,apartamento completo,2,10,10,0,1
69632122,dentro de un día,1,Cape Town,South Africa,-33.94308,18.4243,condominio completo,3,10,10,0,0
22541573,dentro de algunas horas,0,New York,United States,40.77118,-73.95766,apartamento completo,3,9,10,1,1
6000862,dentro de una hora,0,Rio de Janeiro,Brazil,-22.98502,-43.19936,apartamento completo,4,10,10,1,1
241829932,dentro de algunos días o más,0,Bangkok,Thailand,13.75048,100.57892,apartamento completo,2,10,10,0,0
219525689,dentro de una hora,1,Istanbul,Turkey,41.03498,28.98616,apartamento completo,5,10,10,0,1
3873669,dentro de una hora,0,Rome,Italy,41.9005,12.47278,apartamento completo,4,9,10,0,1
266462434,dentro de una hora,1,Bangkok,Thailand,13.72071,100.54793,pieza privada en casa,2,10,10,0,1
26867557,dentro de una hora,0,Mexico City,Mexico,19.36488,-99.13939,apartamento completo,4,10,10,0,0
12982157,dentro de una hora,0,Rome,Italy,41.90764,12.47901,apartamento completo,2,10,10,0,1
63450361,dentro de un día,1,Bangkok,Thailand,13.71183,100.52744,pieza privada en casa,6,10,9,0,1
3040239,dentro de una hora,1,Rio de Janeiro,Brazil,-22.93582,-43.19833,pieza privada en casa,5,10,9,1,1
64837317,dentro de una hora,1,New York,United States,40.76231,-73.9952,apartamento completo,4,10,10,1,1
63316765,dentro de una hora,1,Sydney,Australia,-33.8613,151.08096,pieza privada en departamento,2,10,9,0,1
6582962,dentro de una hora,1,New York,United States,40.69486,-73.97132,apartamento completo,2,10,10,0,1
211419846,dentro de una hora,0,Sydney,Australia,-33.74998,151.29143,apartamento completo,4,10,10,0,0
3195183,dentro de una hora,1,Istanbul,Turkey,41.0497,28.98836,apartamento completo,2,10,10,1,0
4873555,dentro de una hora,0,Rio de Janeiro,Brazil,-22.97579,-43.1912,apartamento completo,10,10,10,1,1
62104628,dentro de algunas horas,0,Istanbul,Turkey,41.02575,28.97545,departamento con servicios completo,3,10,10,1,1
10861146,dentro de algunas horas,1,Sydney,Australia,-33.89697,151.27043,pieza privada en departamento,1,10,10,0,0
105782294,dentro de una hora,0,Cape Town,South Africa,-34.05681,18.52071,pieza privada en casa,2,10,6,1,0
29840258,dentro de una hora,1,Paris,France,48.87618,2.34942,apartamento completo,2,10,10,0,0
3524822,dentro de una hora,1,Rio de Janeiro,Brazil,-22.98281,-43.24237,pieza privada en departamento,2,10,10,1,1
4328477,dentro de una hora,0,Istanbul,Turkey,40.98476,29.02554,apartamento completo,2,10,10,1,0
2023070,dentro de una hora,0,Rome,Italy,41.89681,12.46985,apartamento completo,6,10,10,1,1
284210766,dentro de una hora,1,Paris,France,48.88049,2.34881,apartamento completo,8,10,10,0,0
122363222,dentro de un día,1,Bangkok,Thailand,13.72544,100.5656,condominio completo,3,10,10,1,1
6850533,dentro de un día,1,Paris,France,48.88092,2.33719,apartamento completo,2,10,10,0,1
803951,dentro de una hora,0,Sydney,Australia,-33.96347,151.01513,casa completa,7,9,9,0,1
3961453,dentro de una hora,0,Cape Town,South Africa,-33.79465,18.45779,apartamento completo,4,10,10,0,0
13952156,dentro de una hora,0,Paris,France,48.8558,2.38494,apartamento completo,2,10,10,0,0
29942496,dentro de una hora,0,Mexico City,Mexico,19.42528,-99.17504,apartamento completo,6,10,10,0,0
9265204,dentro de algunas horas,0,New York,United States,40.70765,-73.94821,apartamento completo,5,10,10,1,1
3100283,dentro de una hora,1,Rome,Italy,41.8849,12.53195,suite de invitado completa,2,10,10,0,1
7664887,dentro de un día,1,Paris,France,48.89675,2.34406,apartamento completo,3,10,9,1,0
82378534,dentro de un día,0,Rome,Italy,41.89358,12.46465,apartamento completo,4,10,10,1,1
98584994,dentro de una hora,1,Paris,France,48.87354,2.32173,pieza en hotel,2,10,10,1,1
144929151,dentro de algunas horas,1,Rome,Italy,41.89726,12.49148,apartamento completo,5,10,10,1,1
68154488,dentro de una hora,0,Bangkok,Thailand,13.73538,100.54289,pieza en hotel,2,10,10,0,1
4884558,dentro de una hora,0,Rio de Janeiro,Brazil,-22.98131,-43.19119,pieza privada en departamento,3,9,10,1,1
21397943,dentro de una hora,0,Rome,Italy,41.88718,12.46819,apartamento completo,3,10,10,0,1
58044901,dentro de una hora,0,Mexico City,Mexico,19.39946,-99.24861,pieza privada en casa,2,10,10,0,0
16634521,dentro de algunas horas,0,Rio de Janeiro,Brazil,-22.97922,-43.23414,pieza privada en departamento,2,10,10,0,1
6927387,dentro de algunas horas,0,Sydney,Australia,-33.87193,151.15824,pieza privada en departamento,2,10,10,0,0
178229322,dentro de una hora,1,New York,United States,40.83082,-73.92147,pieza privada en departamento,2,10,9,0,1
130248430,dentro de una hora,0,Cape Town,South Africa,-33.91414,18.42623,apartamento completo,2,9,8,1,1
28304255,dentro de una hora,0,Sydney,Australia,-33.94717,150.85424,casa completa,10,10,10,0,1
42232984,dentro de una hora,0,Sydney,Australia,-33.65848,151.31508,apartamento completo,2,10,9,0,0
118743647,dentro de una hora,0,Bangkok,Thailand,13.81015,100.56736,apartamento completo,6,10,9,1,1
9957419,dentro de una hora,0,Rio de Janeiro,Brazil,-23.00221,-43.42765,apartamento completo,4,10,9,1,1
11235743,dentro de un día,0,Paris,France,48.83071,2.30411,apartamento completo,2,9,9,0,0
50305161,dentro de una hora,1,Mexico City,Mexico,19.41924,-99.16218,apartamento completo,2,10,10,0,0
5028166,dentro de una hora,1,Sydney,Australia,-33.65946,151.29475,suite de invitado completa,2,10,10,0,1
78153469,dentro de un día,0,Rio de Janeiro,Brazil,-22.96556,-43.17966,apartamento completo,5,10,10,1,0
12970157,dentro de una hora,0,Rio de Janeiro,Brazil,-22.94255,-43.18596,pieza privada en casa,2,10,10,0,0
302747230,dentro de algunos días o más,0,Mexico City,Mexico,19.4581,-99.14002,apartamento completo,8,10,9,1,0
125422956,dentro de una hora,1,Sydney,Australia,-34.07282,151.15044,suite de invitado completa,2,10,10,0,0
115617439,dentro de una hora,0,Bangkok,Thailand,13.75097,100.55676,condominio completo,4,10,9,0,1
12384865,dentro de una hora,1,Cape Town,South Africa,-33.81393,18.47295,apartamento completo,4,10,9,1,0
39020317,dentro de algunas horas,0,Rome,Italy,41.90671,12.44343,apartamento completo,6,10,9,1,1
2954749,dentro de algunos días o más,0,New York,United States,40.74073,-73.98077,apartamento completo,2,10,9,1,1
2397423,dentro de un día,0,Cape Town,South Africa,-33.85724,18.49,apartamento completo,2,10,10,0,0
103711010,dentro de una hora,1,Mexico City,Mexico,19.37603,-99.17084,pieza privada en departamento,2,10,10,0,0
33904963,dentro de una hora,0,Cape Town,South Africa,-34.09345,18.46135,apartamento completo,4,10,10,1,0
29401776,dentro de una hora,0,Paris,France,48.84028,2.31501,apartamento completo,3,10,10,0,0
88801066,dentro de algunos días o más,0,New York,United States,40.69394,-73.99294,apartamento completo,6,10,10,1,1
61396454,dentro de una hora,0,New York,United States,40.75498,-73.963,apartamento completo,6,9,10,1,1
95616586,dentro de una hora,1,Mexico City,Mexico,19.41366,-99.11272,pieza privada en casa,1,10,9,1,0
109671307,dentro de una hora,1,New York,United States,40.87226,-73.87714,pieza privada en casa,2,10,9,1,1
52854431,dentro de una hora,1,Cape Town,South Africa,-33.82077,18.66373,suite de invitado completa,2,10,10,0,1
251340669,dentro de un día,0,Mexico City,Mexico,19.44206,-99.19969,apartamento completo,5,10,10,0,0
142374062,dentro de una hora,1,Rome,Italy,41.89896,12.46258,apartamento completo,6,10,10,0,1
47692011,dentro de un día,0,Istanbul,Turkey,41.00281,28.6936,apartamento completo,2,10,9,0,1
171979787,dentro de un día,0,Paris,France,48.87956,2.37166,casa completa,6,9,9,1,1
113226712,dentro de algunos días o más,0,Rio de Janeiro,Brazil,-23.0008,-43.34254,departamento con servicios completo,2,10,10,1,1
52068281,dentro de algunas horas,0,Bangkok,Thailand,13.73574,100.56465,condominio completo,3,10,10,1,1
3235547,dentro de algunas horas,0,New York,United States,40.72294,-73.99388,apartamento completo,3,10,10,1,1
49176134,dentro de una hora,1,Cape Town,South Africa,-34.12687,18.38298,casa completa,4,10,10,0,0
4293110,dentro de una hora,0,New York,United States,40.73088,-74.00079,apartamento completo,2,9,10,0,0
17037121,dentro de una hora,0,Paris,France,48.86731,2.33378,apartamento completo,4,9,10,1,1
38529218,dentro de algunos días o más,0,Istanbul,Turkey,41.14178,29.03783,condominio completo,13,10,9,0,1
160645856,dentro de algunas horas,0,Mexico City,Mexico,19.37729,-99.25971,apartamento completo,4,10,10,0,0
15770987,dentro de una hora,0,Istanbul,Turkey,41.00284,28.97204,apartamento completo,6,10,9,0,1
99834629,dentro de una hora,0,Rome,Italy,41.87387,12.48441,apartamento completo,4,10,10,0,1
16311351,dentro de un día,0,Paris,France,48.85085,2.31909,estudio completo,8,8,9,0,0
100315114,dentro de un día,0,Cape Town,South Africa,-33.93642,18.40926,apartamento completo,4,10,9,0,0
187717660,dentro de una hora,1,Mexico City,Mexico,19.41757,-99.15729,departamento con servicios completo,5,10,10,0,1
227131021,dentro de una hora,1,Paris,France,48.85201,2.37281,apartamento completo,8,9,10,1,1
140944743,dentro de una hora,1,Istanbul,Turkey,40.87129,29.12164,pieza en hotel,2,10,10,0,1
10150537,dentro de una hora,1,Rome,Italy,41.87955,12.4729,apartamento completo,4,9,9,0,0
205080765,dentro de un día,1,Rome,Italy,41.88531,12.52588,pieza privada en departamento,2,9,9,0,0
277358509,dentro de una hora,0,Rio de Janeiro,Brazil,-22.97584,-43.41409,departamento con servicios completo,2,10,10,0,1
78306877,dentro de una hora,1,Istanbul,Turkey,41.03448,28.99015,apartamento completo,2,10,10,0,0
256946205,dentro de una hora,1,Rome,Italy,41.87287,12.46088,pieza privada en departamento,2,10,9,0,1
231813945,dentro de algunas horas,0,Rome,Italy,41.90151,12.47284,apartamento completo,4,10,10,0,1
301428049,dentro de una hora,1,Mexico City,Mexico,19.41756,-99.17847,departamento con servicios completo,4,10,10,0,0
147385028,dentro de una hora,0,Mexico City,Mexico,19.41677,-99.16111,departamento con servicios completo,2,9,10,1,0
13619313,dentro de algunos días o más,0,New York,United States,40.71578,-73.99837,apartamento completo,2,10,10,0,1
50050657,dentro de algunas horas,0,Bangkok,Thailand,13.75546,100.56131,pieza privada en departamento,2,10,9,1,1
114347504,dentro de una hora,0,Rome,Italy,41.89878,12.50435,apartamento completo,8,10,10,0,1
130248430,dentro de una hora,0,Cape Town,South Africa,-33.91325,18.41788,apartamento completo,2,9,10,1,1
98087989,dentro de una hora,0,Paris,France,48.88869,2.34793,pieza en hotel,3,9,8,0,0
269171677,dentro de algunos días o más,0,Rio de Janeiro,Brazil,-22.93052,-43.18024,condominio completo,10,9,9,1,1
59915865,dentro de algunas horas,0,Paris,France,48.85299,2.34727,apartamento completo,10,9,10,0,0
359900684,dentro de una hora,0,Rio de Janeiro,Brazil,-22.98199,-43.21646,pieza privada en departamento,3,10,10,0,0
50389365,dentro de algunas horas,0,Rome,Italy,41.93564,12.41952,apartamento completo,5,10,9,0,1
267124383,dentro de una hora,1,Istanbul,Turkey,41.03347,28.98658,apartamento completo,3,10,10,1,1
27701200,dentro de algunas horas,1,Mexico City,Mexico,19.40129,-99.09687,pieza privada en departamento,2,10,10,1,0
333828322,dentro de algunos días o más,0,New York,United States,40.67431,-73.96408,apartamento completo,2,8,9,0,1
53750726,dentro de una hora,0,New York,United States,40.76563,-73.9856,apartamento completo,2,10,10,0,1
73511490,dentro de una hora,0,Sydney,Australia,-34.08276,151.15433,casa completa,6,10,10,1,1
81947651,dentro de una hora,0,Istanbul,Turkey,41.01894,29.0808,apartamento completo,4,6,8,0,0
84224684,dentro de una hora,1,Rome,Italy,41.89868,12.46987,apartamento completo,3,10,10,0,1
17321727,dentro de una hora,1,Paris,France,48.85994,2.34775,apartamento completo,3,10,10,0,1
4330726,dentro de un día,0,New York,United States,40.67507,-73.97792,condominio completo,2,10,10,0,1
10965501,dentro de algunos días o más,0,Rio de Janeiro,Brazil,-22.92385,-43.18202,pieza privada en departamento,2,10,10,0,0
146636206,dentro de una hora,0,Rome,Italy,41.87877,12.46922,apartamento completo,8,10,9,1,1
2919803,dentro de algunas horas,0,Rio de Janeiro,Brazil,-22.98499,-43.212,apartamento completo,4,8,10,0,1
204348856,dentro de una hora,1,New York,United States,40.75283,-73.97082,apartamento completo,4,10,10,0,1
11968877,dentro de algunas horas,1,Rome,Italy,41.91136,12.45312,apartamento completo,7,10,10,0,1
52917571,dentro de algunas horas,1,New York,United States,40.73068,-74.00306,apartamento completo,2,10,10,0,1
748129,dentro de algunos días o más,0,Paris,France,48.88575,2.35228,estudio completo,6,10,7,0,0
4298915,dentro de algunas horas,0,Sydney,Australia,-33.84076,151.23408,apartamento completo,2,10,10,0,0
229048031,dentro de una hora,1,Istanbul,Turkey,41.03584,28.97171,apartamento completo,5,10,10,0,1
